Time,Status,Device_ID,Input_PPM,Output_PPM,Efficiency,Temp,Pressure
2/10/2026, 10:57:05 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:05 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:05 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:05 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:06 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:06 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:06 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:06 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:06 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:06 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:06 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:06 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:06 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:06 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:07 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:07 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:07 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:07 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:07 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:07 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:07 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:07 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:07 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:07 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:08 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:08 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:08 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:08 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:08 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:08 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:08 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:08 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:08 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:08 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:09 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:09 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:09 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:09 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:09 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:09 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:09 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:09 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:09 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:10 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:10 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:10 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:10 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:10 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:10 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:10 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:10 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:10 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:10 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:11 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:11 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:11 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:11 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:11 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:11 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:11 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:11 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:11 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:11 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:12 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:12 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:12 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:12 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:12 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:12 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:12 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:12 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:12 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:12 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:13 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:13 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:13 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:13 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:13 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:13 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:13 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:13 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:13 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:13 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:14 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:14 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:14 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:14 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:14 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:14 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:14 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:14 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:14 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:14 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:15 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:15 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:15 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:15 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:15 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:15 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:15 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:15 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:15 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:15 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:16 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:16 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:16 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:16 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:16 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:16 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:16 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:16 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:16 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:16 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:17 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:17 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:17 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:17 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:17 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:17 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:17 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:17 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:17 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:17 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:18 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:18 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:18 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:18 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:18 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:18 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:18 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:18 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:18 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:18 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:19 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:19 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:19 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:19 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:19 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:19 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:19 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:19 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:19 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:20 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:20 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:20 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:20 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:20 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:20 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:20 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:20 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:20 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:20 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:21 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:21 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:21 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:21 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:21 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:21 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:21 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:21 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:21 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:21 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:22 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:22 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:22 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:22 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:22 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:22 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:22 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:22 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:22 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:22 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:23 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:23 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:23 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:23 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:23 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:23 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:23 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:23 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:23 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:23 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:24 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:24 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:24 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:24 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:24 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:24 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:24 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:24 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:24 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:24 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:25 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:25 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:25 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:25 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:25 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:25 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:25 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:25 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:25 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:25 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:26 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:26 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:26 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:26 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:26 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:26 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:26 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:26 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:26 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:26 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:27 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:27 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:27 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:27 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:27 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:27 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
